#,Company,Symbol,Portfolio%,Price,Chg,% Chg,
1,Apple Inc,AAPL,9.82%,254.49,4.70,(1.88%),
2,NVIDIA Corp,NVDA,8.42%,134.70,4.02,(3.08%),
3,Microsoft Corp,MSFT,8.28%,436.60,-0.43,(-0.10%),
4,Amazon.com Inc,AMZN,6.04%,224.92,1.63,(0.73%),
5,Broadcom Inc,AVGO,4.34%,220.79,2.47,(1.13%),
6,Tesla Inc,TSLA,3.90%,421.06,-15.11,(-3.46%),
7,Meta Platforms Inc,META,3.26%,585.25,-10.32,(-1.73%),
8,Alphabet Inc,GOOGL,2.85%,191.41,2.90,(1.54%),
9,Alphabet Inc,GOOG,2.73%,192.96,3.26,(1.72%),
10,Costco Wholesale Corp,COST,2.65%,954.07,-0.73,(-0.08%),
11,Netflix Inc,NFLX,2.44%,909.05,7.01,(0.78%),
12,T-Mobile US Inc,TMUS,1.61%,220.31,2.31,(1.06%),
13,Cisco Systems Inc,CSCO,1.46%,58.52,0.89,(1.54%),
,,,,,,,
14,PepsiCo Inc,PEP,1.32%,152.79,1.32,(0.87%),
,,,,,,,
15,Linde PLC,LIN,1.27%,424.31,4.72,(1.12%),
,,,,,,,
16,Adobe Inc,ADBE,1.24%,447.17,9.78,(2.24%),
,,,,,,,
17,Advanced Micro Devices Inc,AMD,1.22%,119.21,0.33,(0.28%),
,,,,,,,
18,Intuitive Surgical Inc,ISRG,1.17%,524.43,0.52,(0.10%),
,,,,,,,
19,Intuit Inc,INTU,1.13%,643.39,6.44,(1.01%),
,,,,,,,
20,Palantir Technologies Inc,PLTR,1.10%,80.55,6.34,(8.54%),
,,,,,,,
21,Texas Instruments Inc,TXN,1.07%,186.87,2.40,(1.30%),
,,,,,,,
22,QUALCOMM Inc,QCOM,1.07%,152.89,2.49,(1.66%),
,,,,,,,
23,Booking Holdings Inc,BKNG,1.05%,"5,048.59",68.19,(1.37%),
,,,,,,,
24,Honeywell International Inc,HON,0.93%,228.32,1.44,(0.63%),
,,,,,,,
25,Comcast Corp,CMCSA,0.92%,38.22,0.82,(2.19%),
,,,,,,,
26,Amgen Inc,AMGN,0.89%,263.38,2.19,(0.84%),
,,,,,,,
27,Applied Materials Inc,AMAT,0.85%,163.59,2.15,(1.33%),
,,,,,,,
28,Palo Alto Networks Inc,PANW,0.77%,186.78,-2.58,(-1.36%),
,,,,,,,
29,Automatic Data Processing Inc,ADP,0.75%,294.02,2.69,(0.92%),
,,,,,,,
30,Gilead Sciences Inc,GILD,0.72%,92.57,1.48,(1.62%),
,,,,,,,
31,Analog Devices Inc,ADI,0.66%,211.78,4.00,(1.93%),
,,,,,,,
32,Vertex Pharmaceuticals Inc,VRTX,0.64%,397.27,0.63,(0.16%),
,,,,,,,
33,AppLovin Corp,APP,0.64%,340.99,22.25,(6.98%),
,,,,,,,
34,Micron Technology Inc,MU,0.63%,90.12,3.03,(3.48%),
,,,,,,,
35,Starbucks Corp,SBUX,0.63%,87.97,-0.79,(-0.89%),
,,,,,,,
36,Marvell Technology Inc,MRVL,0.61%,111.90,2.79,(2.56%),
,,,,,,,
37,Lam Research Corp,LRCX,0.58%,71.79,0.58,(0.81%),
,,,,,,,
38,PayPal Holdings Inc,PYPL,0.55%,87.13,0.35,(0.40%),
,,,,,,,
39,MercadoLibre Inc,MELI,0.55%,"1,720.36",54.36,(3.26%),
,,,,,,,
40,Crowdstrike Holdings Inc,CRWD,0.53%,362.29,11.26,(3.21%),
,,,,,,,
41,Intel Corp,INTC,0.53%,19.52,0.46,(2.41%),
,,,,,,,
42,KLA Corp,KLAC,0.53%,629.37,7.19,(1.16%),
,,,,,,,
43,Cadence Design Systems Inc,CDNS,0.52%,301.47,1.60,(0.53%),
,,,,,,,
44,Mondelez International Inc,MDLZ,0.50%,59.39,0.12,(0.20%),
,,,,,,,
45,Marriott International Inc/MD,MAR,0.49%,283.96,4.94,(1.77%),
,,,,,,,
46,Regeneron Pharmaceuticals Inc,REGN,0.48%,701.85,-6.40,(-0.90%),
,,,,,,,
47,Synopsys Inc,SNPS,0.48%,492.18,-1.17,(-0.24%),
,,,,,,,
48,Cintas Corp,CTAS,0.47%,186.94,4.15,(2.27%),
,,,,,,,
49,Fortinet Inc,FTNT,0.47%,97.19,2.34,(2.47%),
,,,,,,,
50,Constellation Energy Corp,CEG,0.45%,227.02,1.85,(0.82%),
,,,,,,,
51,O'Reilly Automotive Inc,ORLY,0.44%,"1,219.11",4.72,(0.39%),
,,,,,,,
52,MicroStrategy Inc,MSTR,0.42%,364.20,37.74,(11.56%),
,,,,,,,
53,DoorDash Inc,DASH,0.42%,171.00,3.35,(2.00%),
,,,,,,,
54,PDD Holdings Inc ADR,PDD,0.42%,99.51,-1.49,(-1.48%),
,,,,,,,
55,Autodesk Inc,ADSK,0.40%,298.12,4.49,(1.53%),
,,,,,,,
56,ASML Holding NV,ASML,0.39%,705.68,-4.58,(-0.64%),
,,,,,,,
57,CSX Corp,CSX,0.39%,31.85,0.27,(0.85%),
,,,,,,,
58,Workday Inc,WDAY,0.37%,273.04,6.21,(2.33%),
,,,,,,,
59,Airbnb Inc,ABNB,0.37%,134.21,4.86,(3.76%),
,,,,,,,
60,Roper Technologies Inc,ROP,0.35%,525.40,3.65,(0.70%),
,,,,,,,
61,Trade Desk Inc/The,TTD,0.35%,125.01,-1.22,(-0.97%),
,,,,,,,
62,Copart Inc,CPRT,0.35%,58.22,-0.23,(-0.39%),
,,,,,,,
63,PACCAR Inc,PCAR,0.35%,105.32,-2.19,(-2.04%),
,,,,,,,
64,NXP Semiconductors NV,NXPI,0.34%,210.24,2.97,(1.43%),
,,,,,,,
65,Monster Beverage Corp,MNST,0.32%,51.72,0.82,(1.61%),
,,,,,,,
66,Paychex Inc,PAYX,0.32%,139.54,1.73,(1.26%),
67,Charter Communications Inc,CHTR,0.31%,351.50,-1.27,(-0.36%),
68,Ross Stores Inc,ROST,0.31%,149.15,1.36,(0.92%),
69,American Electric Power Co Inc,AEP,0.31%,92.75,1.51,(1.65%),
70,Axon Enterprise Inc,AXON,0.30%,631.69,16.01,(2.60%),
71,Datadog Inc,DDOG,0.29%,149.46,2.53,(1.72%),
72,Diamondback Energy Inc,FANG,0.28%,154.94,1.88,(1.23%),
73,Lululemon Athletica Inc,LULU,0.28%,379.42,5.88,(1.57%),
74,Keurig Dr Pepper Inc,KDP,0.28%,32.37,-0.03,(-0.09%),
75,Fastenal Co,FAST,0.27%,74.82,0.79,(1.07%),
76,Atlassian Corp,TEAM,0.26%,257.26,6.03,(2.40%),
77,Baker Hughes Co,BKR,0.25%,40.32,0.52,(1.31%),
78,Cognizant Technology Solutions Corp,CTSH,0.25%,79.23,-0.26,(-0.33%),
79,Verisk Analytics Inc,VRSK,0.25%,276.86,1.28,(0.46%),
80,Electronic Arts Inc,EA,0.24%,147.80,-0.09,(-0.06%),
81,Old Dominion Freight Line Inc,ODFL,0.24%,181.37,-6.37,(-3.39%),
82,Xcel Energy Inc,XEL,0.24%,67.40,0.75,(1.13%),
83,AstraZeneca PLC ADR,AZN,0.24%,65.35,0.91,(1.41%),
84,Exelon Corp,EXC,0.23%,37.02,-0.17,(-0.46%),
85,Kraft Heinz Co/The,KHC,0.23%,30.52,0.42,(1.40%),
86,GE HealthCare Technologies Inc,GEHC,0.23%,78.91,1.48,(1.91%),
87,Coca-Cola Europacific Partners PLC,CCEP,0.22%,75.17,0.46,(0.62%),
88,IDEXX Laboratories Inc,IDXX,0.21%,412.26,3.23,(0.79%),
89,Take-Two Interactive Software Inc,TTWO,0.20%,181.97,0.59,(0.33%),
90,Dexcom Inc,DXCM,0.20%,80.04,4.22,(5.57%),
91,Microchip Technology Inc,MCHP,0.19%,55.51,-0.48,(-0.86%),
92,ANSYS Inc,ANSS,0.19%,338.38,3.90,(1.17%),
93,CoStar Group Inc,CSGP,0.18%,71.44,1.60,(2.29%),
94,Zscaler Inc,ZS,0.18%,187.38,4.17,(2.28%),
95,ON Semiconductor Corp,ON,0.17%,65.50,0.70,(1.08%),
96,Warner Bros Discovery Inc,WBD,0.17%,10.69,0.20,(1.91%),
97,CDW Corp/DE,CDW,0.15%,174.53,1.25,(0.72%),
98,GLOBALFOUNDRIES Inc,GFS,0.15%,41.72,0.42,(1.02%),
99,Biogen Inc,BIIB,0.13%,146.47,-0.92,(-0.62%),
100,MongoDB Inc,MDB,0.11%,245.63,0.63,(0.26%),
101,ARM Holdings PLC ADR,ARM,0.11%,132.15,0.05,(0.04%),